start,end,worker_id,source,mapping.name,exportID,records.size,message.count,record.id,rdf.file.size
1545080031659,1545080050696,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,2,0d97f588-c3b1-498f-9544-c9ff0e406fb3,19025,
1545080050796,1545080060576,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,10,9a99fe1e-3896-45e5-b1fd-58a402ec5f66,16611,
1545080060607,1545080065292,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,18,18ba6f44-3552-4edf-866b-ae2f13d7f267,11674,
1545080065394,1545080071167,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,26,ba5d043e-4ef7-4a42-9707-99013adc1f99,19004,
1545080114060,1545080115761,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,1,828ddac2-2f3b-4648-9581-e3e5d1558fcc,16138,
1545080115775,1545080116880,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,3,c5c3ed63-8e14-4fb3-a07c-c0c51d3ded19,19007,
1545080116891,1545080117728,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,5,0ca0eeb1-41fd-4b25-bbea-070461188521,16162,
1545080117746,1545080118529,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,7,87e6f096-e84c-4d55-8409-4eb8b5a69081,15836,
1545080118539,1545080119577,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,9,dfd5fe9f-d397-4f34-aea4-856049039d3d,16233,
1545080119596,1545080120700,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,11,e9355e16-a39a-4756-922a-475e33c06b00,16136,
1545080120711,1545080121612,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,13,4b41a289-520d-4434-812d-4d44a3304f18,19020,
1545080121634,1545080122907,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,15,9701ceeb-9d8a-46d9-b1e3-e56ffa4480f5,19006,
1545080122928,1545080123948,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,17,61e6b5b2-de1f-45da-93e6-d79728c252a0,19012,
1545080123972,1545080125257,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,19,f1e94daa-aca7-478f-b9b4-96ddb2516683,19033,
1545080125270,1545080126082,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,21,b64dbed3-31f5-430a-a9c8-9716ccc8c1e7,19005,
1545080126091,1545080126888,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,23,5903f8bf-0fb7-4e35-971f-aa324fdd36d4,16622,
1545080126900,1545080127939,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,25,77c44e68-e158-40fd-be42-45d18f95f4cc,19007,
1545080127947,1545080128892,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,27,414a1df6-4aed-48fd-b56b-c22c889eccbb,15821,
1545080128934,1545080129875,3d90b306-bd62-4b4f-9956-f738446e2e39,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,29,7b79a009-be67-4c54-a9cb-8e0f4a272394,16225,
1545080031315,1545080049169,41657d51-6c5b-4e28-832d-9cf4e017c3a1,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,0,8c7829a7-2942-4fab-b118-4aecdc7023d8,19024,
1545080049306,1545080058378,41657d51-6c5b-4e28-832d-9cf4e017c3a1,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,8,ff1df6c1-390a-439e-b172-dabee6f73617,19029,
1545080058407,1545080064270,41657d51-6c5b-4e28-832d-9cf4e017c3a1,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,16,a1000b6c-1413-412f-8d20-6acf01f6415f,15816,
1545080064343,1545080070772,41657d51-6c5b-4e28-832d-9cf4e017c3a1,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,24,36ab8cf0-9723-448e-987b-c2124cdb36ab,19031,
1545080031485,1545080048951,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,1,828ddac2-2f3b-4648-9581-e3e5d1558fcc,16138,
1545080049123,1545080057247,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,9,dfd5fe9f-d397-4f34-aea4-856049039d3d,16233,
1545080057346,1545080063511,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,17,61e6b5b2-de1f-45da-93e6-d79728c252a0,19012,
1545080063553,1545080069549,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,25,77c44e68-e158-40fd-be42-45d18f95f4cc,19007,
1545080114043,1545080115863,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,0,8c7829a7-2942-4fab-b118-4aecdc7023d8,19024,
1545080115886,1545080117171,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,2,0d97f588-c3b1-498f-9544-c9ff0e406fb3,19025,
1545080117192,1545080118551,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,4,b25730c2-d083-4c4c-81ee-dd82c16e2c98,19003,
1545080118563,1545080119756,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,6,98aafd46-1311-42bd-a14e-042e18d0e788,16162,
1545080119769,1545080121242,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,8,ff1df6c1-390a-439e-b172-dabee6f73617,19029,
1545080121277,1545080122478,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,10,9a99fe1e-3896-45e5-b1fd-58a402ec5f66,16611,
1545080122500,1545080123307,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,12,6c58344b-e09d-40a8-aae5-c095517ba046,16205,
1545080123330,1545080124412,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,14,6a0e677a-e53e-4064-9b76-d9801a0efc60,19006,
1545080124429,1545080125146,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,16,a1000b6c-1413-412f-8d20-6acf01f6415f,15816,
1545080125152,1545080125873,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,18,18ba6f44-3552-4edf-866b-ae2f13d7f267,11674,
1545080125891,1545080126977,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,20,21697fba-409a-46f5-a3aa-a681cbae381e,19008,
1545080126985,1545080128075,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,22,8e22cff6-523e-4ede-86c6-e3049dd372c3,16603,
1545080128079,1545080129077,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,24,36ab8cf0-9723-448e-987b-c2124cdb36ab,19031,
1545080129087,1545080129985,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,26,ba5d043e-4ef7-4a42-9707-99013adc1f99,19004,
1545080130007,1545080130608,6008ce12-c012-4c58-a401-07b2c163ff2e,https://ckan-d4s.d4science.org/,Mapping115,321caf3a-66fa-469e-8165-162383bae6b9,30,28,7450dc08-c464-4db3-b99d-c57165f45593,19035,
1545080032319,1545080051007,c57fa114-46d0-426a-85de-a7839da8503f,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,5,0ca0eeb1-41fd-4b25-bbea-070461188521,16162,
1545080051397,1545080061955,c57fa114-46d0-426a-85de-a7839da8503f,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,13,4b41a289-520d-4434-812d-4d44a3304f18,19020,
1545080062006,1545080068990,c57fa114-46d0-426a-85de-a7839da8503f,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,21,b64dbed3-31f5-430a-a9c8-9716ccc8c1e7,19005,
1545080069050,1545080072888,c57fa114-46d0-426a-85de-a7839da8503f,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,29,7b79a009-be67-4c54-a9cb-8e0f4a272394,16225,
1545080032053,1545080052740,cc2974d7-f6ae-45e2-b0e3-e29e7b7ff2e2,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,4,b25730c2-d083-4c4c-81ee-dd82c16e2c98,19003,
1545080052939,1545080061837,cc2974d7-f6ae-45e2-b0e3-e29e7b7ff2e2,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,12,6c58344b-e09d-40a8-aae5-c095517ba046,16205,
1545080061887,1545080067842,cc2974d7-f6ae-45e2-b0e3-e29e7b7ff2e2,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,20,21697fba-409a-46f5-a3aa-a681cbae381e,19008,
1545080067879,1545080072672,cc2974d7-f6ae-45e2-b0e3-e29e7b7ff2e2,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,28,7450dc08-c464-4db3-b99d-c57165f45593,19035,
1545080031866,1545080050999,d93392dc-172a-4078-8521-5f8054f22904,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,3,c5c3ed63-8e14-4fb3-a07c-c0c51d3ded19,19007,
1545080051121,1545080060853,d93392dc-172a-4078-8521-5f8054f22904,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,11,e9355e16-a39a-4756-922a-475e33c06b00,16136,
1545080060941,1545080067780,d93392dc-172a-4078-8521-5f8054f22904,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,19,f1e94daa-aca7-478f-b9b4-96ddb2516683,19033,
1545080067844,1545080072275,d93392dc-172a-4078-8521-5f8054f22904,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,27,414a1df6-4aed-48fd-b56b-c22c889eccbb,15821,
1545080032824,1545080053977,e8809873-ed7c-4fcd-8fe4-6e192b4b6db1,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,7,87e6f096-e84c-4d55-8409-4eb8b5a69081,15836,
1545080054207,1545080063384,e8809873-ed7c-4fcd-8fe4-6e192b4b6db1,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,15,9701ceeb-9d8a-46d9-b1e3-e56ffa4480f5,19006,
1545080063491,1545080069884,e8809873-ed7c-4fcd-8fe4-6e192b4b6db1,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,23,5903f8bf-0fb7-4e35-971f-aa324fdd36d4,16622,
1545080032539,1545080052507,f48c3cd2-d5f9-48aa-b63d-7cae1427edb3,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,6,98aafd46-1311-42bd-a14e-042e18d0e788,16162,
1545080052744,1545080062551,f48c3cd2-d5f9-48aa-b63d-7cae1427edb3,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,14,6a0e677a-e53e-4064-9b76-d9801a0efc60,19006,
1545080062595,1545080069042,f48c3cd2-d5f9-48aa-b63d-7cae1427edb3,https://ckan-d4s.d4science.org/,Mapping115,ee21380a-4058-4959-afcb-b2f43e28aba5,30,22,8e22cff6-523e-4ede-86c6-e3049dd372c3,16603,
